#,business_name,current_website,maps_candidate,candidate_site,recommendation,why
27,Camner Center for Resources,http://www.miami.edu/,Toppel Career Center,http://hireacane.miami.edu/,DELETE,maps top result is a different business ('Toppel Career Center'); current site unverifiable
28,Catering,https://theboardmiami.com,Whisk Gourmet Food & Catering,http://www.whiskgourmet.com/,DELETE,maps top result is a different business ('Whisk Gourmet Food & Caterin'); current site unverifiable
29,Consulate of Hungary,https://washington.mfa.gov.hu/page/consulates,Vice- Consulate of Hungary / Magyarország Alkonzulátusa,https://newyork.mfa.gov.hu/page/magyarorszag-miami-alkonzulatusa,DELETE,maps top result is a different business ('Vice- Consulate of Hungary /'); current site unverifiable
30,Coral Gables Lodge No. 260,https://coralgablesmason.org/,Coral Gables Masonic Lodge No.260 F&AM,https://coralgablesmason.org/,DELETE,maps top result is a different business ('Coral Gables Masonic Lodge N'); current site unverifiable
31,Coral Gables Professional Firefighters Assn.,https://local1210.com,Coral Gables Fire Department,https://www.coralgables.com/department/fire,DELETE,maps top result is a different business ('Coral Gables Fire Department'); current site unverifiable
32,DMG Corporation,https://giovannymadridfr.com,dmg Martinez Group,https://dmg-mg.com/,DELETE,maps top result is a different business ('dmg Martinez Group'); current site unverifiable
33,Dean of Students Office,https://doso.students.wisc.edu/,University of Miami Student Center Complex,http://www.miami.edu/SCC,DELETE,maps top result is a different business ('University of Miami Student '); current site unverifiable
34,Digital Radiology Inc.,https://lifeimagingfla.com/contact/?utm_source=gmb_auth,Life Imaging Miami,https://lifeimagingfla.com/contact/?utm_source=gmb_auth,DELETE,maps top result is a different business ('Life Imaging Miami'); current site unverifiable
35,Erica Simons,https://www.drsimonplasticsurgery.com/,Dr. Sean Simon MD,https://www.drsimonplasticsurgery.com/,DELETE,maps top result is a different business ('Dr. Sean Simon MD'); current site unverifiable
36,Erin Anding,https://erinhuyler.ewm.com/,Erin Huyler - Miami Real Estate,https://erinhuyler.ewm.com/,DELETE,maps top result is a different business ('Erin Huyler - Miami Real Est'); current site unverifiable
37,Esthetique Spa,http://www.skintiquemiami.com/,City Esthetic,http://www.cityesthetic.com/,DELETE,maps top result is a different business ('City Esthetic'); current site unverifiable
38,"Fantasy, 1958",http://www.citybeautiful.net/,"Miami, FL 33146",,DELETE,"maps top result is a different business ('Miami, FL 33146'); current site unverifiable"
39,Florida International University,https://fiu.edu,11200 SW 8th St,,DELETE,maps top result is a different business ('11200 SW 8th St'); current site unverifiable
40,Flowers & Services,http://www.bfleur.com/,Trias Flowers & Gifts,https://www.triasflowers.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,DELETE,maps top result is a different business ('Trias Flowers & Gifts'); current site unverifiable
41,"Fohhn Audio Americas, LLC",https://fohnn.com,2960 Ponce de Leon Blvd,,DELETE,maps top result is a different business ('2960 Ponce de Leon Blvd'); current site unverifiable
42,Fontana Ristorante,https://biltmorehotel.com/coralgablesdining/fontana,Fontana Italian Biltmore Hotel Miami,https://biltmorehotel.com/coral-gables-dining/fontana/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,DELETE,maps top result is a different business ('Fontana Italian Biltmore Hot'); current site unverifiable
43,Frank Rolfes,http://www.rascoklock.com/,Rasco Klock,http://www.rascoklock.com/,DELETE,maps top result is a different business ('Rasco Klock'); current site unverifiable
44,Garbage Collection,https://wm.com,Dade County Solid Waste Transfer,http://www.miamidade.gov/solidwaste/trash-recycling.asp,DELETE,maps top result is a different business ('Dade County Solid Waste Tran'); current site unverifiable
45,Genuine Pizza,https://www.pummarola.us/,Verace Artisan Pizzeria,http://www.veraceartisan.com/,DELETE,maps top result is a different business ('Verace Artisan Pizzeria'); current site unverifiable
46,Gerson & Schwartz P.A,https://www.injuryattorneyfla.com,Gerson and Schwartz Accident & Injury Lawyers,https://www.injuryattorneyfla.com/,DELETE,maps top result is a different business ('Gerson and Schwartz Accident'); current site unverifiable
47,Gift Shop,https://mystichealing.com,Coco Bella Gift & Home,,DELETE,maps top result is a different business ('Coco Bella Gift & Home'); current site unverifiable
48,"Goldman Sachs 10,000 Small Businesses at Miami Dade College",https://mdc.edu/10ksb,Goldman Sachs & Co,https://www.goldmansachs.com/our-firm/locations.html,DELETE,maps top result is a different business ('Goldman Sachs & Co'); current site unverifiable
49,Graduate School,https://www.grad.miami.edu/,1551 Brescia,,DELETE,maps top result is a different business ('1551 Brescia'); current site unverifiable
50,Gustave,https://www.babettemiami.com/,"Miami, FL 33134",,DELETE,"maps top result is a different business ('Miami, FL 33134'); current site unverifiable"
51,HART,https://lanedds.com/our-doctors/dr-tyler-hart/,Sanchez & Hart Inc,,DELETE,maps top result is a different business ('Sanchez & Hart Inc'); current site unverifiable
52,"HGIT Coral Gables, LLC",https://gablesstation.com,Gables Global Investments LLC,https://gablesglobal.com/,DELETE,maps top result is a different business ('Gables Global Investments LL'); current site unverifiable
53,Hank Langston,http://www.citybeautiful.net/,Coral Gables,http://www.citybeautiful.net/,DELETE,maps top result is a different business ('Coral Gables'); current site unverifiable
54,Historical Sites,https://coralgables.com,Alhambra Water Tower,,DELETE,maps top result is a different business ('Alhambra Water Tower'); current site unverifiable
55,ICR Advisors,https://miamiliferealestate.net,ICR Capital LLC,https://icrcapital.com/,DELETE,maps top result is a different business ('ICR Capital LLC'); current site unverifiable
56,Interface Consulting and Psychological Services,https://icpstherapy.com,Miami Counseling & Resource Center,https://miamicounseling.com/,DELETE,maps top result is a different business ('Miami Counseling & Resource '); current site unverifiable
57,Ivette ODoski Consulting,https://velizlaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Coral%20Gables&utm_id=GBP_Coral%20Gables,"Veliz & Associates P.A., an Estate & Legacy Planning Firm",https://velizlaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Coral%20Gables&utm_id=GBP_Coral%20Gables,DELETE,"maps top result is a different business ('Veliz & Associates P.A., an '); current site unverifiable"
58,"J. Muir & Associates, P.A.",https://miamibusiness.law,J Muir & Associates - Miami Business Law Firm,https://jmuirandassociates.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Coral+Gables,DELETE,maps top result is a different business ('J Muir & Associates - Miami '); current site unverifiable
59,Jackson Health System,https://jhsmiami.org,UHealth Jackson Urgent Care | Coral Gables,https://jacksonurgentcare.com/location/coral-gables/,DELETE,maps top result is a different business ('UHealth Jackson Urgent Care '); current site unverifiable
60,Jeweler's Gold and Gifts,https://amauryjewelry.com/,Mega Gold Jewelry,http://pawnmiami.com/,DELETE,maps top result is a different business ('Mega Gold Jewelry'); current site unverifiable
61,Joan Reitsma,https://gablesfoundation.org/,Coral Gables Community Foundation,https://gablesfoundation.org/,DELETE,maps top result is a different business ('Coral Gables Community Found'); current site unverifiable
62,Jorge Enterprises GC - Construction,https://je-gc.com/,GCA Inc,http://www.gcamiami.com/,DELETE,maps top result is a different business ('GCA Inc'); current site unverifiable
63,"LAG REALTY INTERNATIONAL, S. A.",https://laglex.com,The Lani Group at Lowell International Realty,https://thelanigroup.com/,DELETE,maps top result is a different business ('The Lani Group at Lowell Int'); current site unverifiable
64,Large Metal B,http://hqdtechusa.com/,Lucky's Vape & Smoke #2,https://luckyvapestore.com/,DELETE,maps top result is a different business ('Lucky's Vape & Smoke #2'); current site unverifiable
65,Le Parc Cafe,https://www.coralgablescountryclub.com/leparc-caf%C3%A9,"Le Parc-Bonjour, Café Bistro",https://leparccafe.com/,DELETE,"maps top result is a different business ('Le Parc-Bonjour, Café Bistro'); current site unverifiable"
66,Made In Miami,https://drmiamimd.com,Mamey Miami,http://mameymiami.com/,DELETE,maps top result is a different business ('Mamey Miami'); current site unverifiable
67,Montes de Oca,http://www.primecare1.com/,"Jenny C. Montes De Oca Pineda, MD - PrimeCare of Coral Gables",http://www.primecare1.com/,DELETE,maps top result is a different business ('Jenny C. Montes De Oca Pined'); current site unverifiable
68,OYO Hotel Coral Gables - Miami Airport,https://www.oyorooms.com/us/103476/?utm_source=GMB&utm_medium=Organic&utm_campaign=US_MAI004,Gables Cove Hotel,,DELETE,maps top result is a different business ('Gables Cove Hotel'); current site unverifiable
69,Office of the Supervisor of Elections,http://www.miamidade.gov/elections/,Miami-Dade County Supervisor of Elections Office,https://www.votemiamidade.gov/elections/home.page,DELETE,maps top result is a different business ('Miami-Dade County Supervisor'); current site unverifiable
