business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date
petertmavricklaw,Peter T. Mavrick Law,,(305) 570-4042,,"Coral Gables, FL",,,,,legal,business law,,,Web,,,,,,,,,N,non-cgcc-run1,,
johntrickmuscalaw,John Patrick Musca Law,,(305) 203-0333,,"Coral Gables, FL",,,,,legal,criminal defense,,,Web,,,,,,,,,N,non-cgcc-run1,,
pulverc,Pulver CPA,,,pulvercpa.com,"Coral Gables, FL",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run1,,
agcfirm,A&G CPA Firm,,,,"Coral Gables, FL",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run1,,
egomezc,E. Gomez CPA LLC,,,,"Coral Gables, FL",,,,,accounting,construction/wholesaling,,,Web,,,,,,,,,N,non-cgcc-run1,,
delahozperezbarbeitop,"De La Hoz, Perez & Barbeito, PLLC",,(305) 448-7590,dpbcpa.com,"2800 Ponce de Leon Suite 1020, Coral Gables, FL 33134",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run1,,
verdejaalvarez,"Verdeja & Alvarez, LLP",,(305) 446-3177,va-cpa.com,"Coral Gables, FL 33134",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run1,,
gemrtcs,GEMRT CPAs,,,gemrtcpa.com,"Coral Gables, FL",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run1,,
comssrealestatecoralgables,Compass Real Estate Coral Gables,,,compass.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run1,,
onesothebyscoralgables,One Sotheby's Coral Gables,,(305) 666-0562,onesothebysrealty.com,"1507 Sunset Drive, Coral Gables, FL 33143",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run1,,
coldwellbankercoralgables,Coldwell Banker Coral Gables,,,coldwellbanker.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run1,,
redforalgables,Redfin Coral Gables,,,redfin.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run1,,
fortuninsurance,Fortun Insurance,,(844) 660-2820,,"365 Palermo Ave, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
weinsurerandymarzullo,We Insure - Randy Marzullo,,(844) 472-2011,,"1550 Madruga Ave Ste 330, Coral Gables, FL 33146",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
wahlstrominsuranceassociates,Wahlstrom Insurance Associates,,(305) 447-8718,,"1107 Genoa St, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
groverwinstoninsurancegroup,"Grover Winston Insurance Group, LLC",,(786) 778-3154,,"2655 LeJune Rd, Ste 533, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
arcoagentinsurance,Arco Agent Insurance Inc,,(305) 582-2845,,"2000 Ponce de Leon Blvd Ste 515, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
gooseheadinsuranceagency,"Goosehead Insurance Agency, LLC",,(305) 704-8133,,"2222 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
bmsinsuranceagencyofflorida,BMS Insurance Agency of Florida LLC,,(305) 667-7717,,"299 Alhambra Cir Ste 212, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
winstongablesinsurance,Winston Gables Insurance Corp,,(305) 777-1322,,"90 Almeria Ave Ste 203, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
matsoncharltonsuretygroup,Matson-Charlton Surety Group,,(305) 662-3852,,"700 S Dixie Hwy # 100, Coral Gables, FL 33146",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
brownbrownrsinsuranceservices,Brown & Brown RS Insurance Services LLC,,(305) 377-8749,,"2 Alhambra Plz, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
usiinsuranceservices,USI Insurance Services LLC,,(305) 669-6030,,"201 Alhambra Cir, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
rabrandonco,R A Brandon & Co Inc,,(305) 442-2340,,"217 Aragon Ave, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
oneinsuranceservices,One Insurance Services LLC,,(305) 445-3535,,"365 Palermo Ave, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
alliednorthamericainsurancebrokerageoffl,Allied North America Insurance Brokerage Of FL LLC,,(305) 629-3027,,"550 Biltmore Way, Penthouse 2, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
alliantinsuranceservices,Alliant Insurance Services Inc,,(212) 344-2444,,"800 S Douglas, Coral Gables, FL",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
nsiinsurance,NSI Insurance,,,nsigroup.org,"2122 SW 67th Ave, Miami, FL 33155",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
borbollainsuranceagencies,Borbolla Insurance Agencies Inc,,(305) 203-0333,,"320 Sevilla Ave, Ste 202, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run1,,
abadindental,Abadin Dental,,(305) 783-3750,abadindental.com,"Coral Gables, FL",,,,,healthcare,dentistry,,5.0,Web,,,,,,,,,N,non-cgcc-run1,,
gablesexceptionaldentistry,Gables Exceptional Dentistry,,,gablesexceptionaldentistry.com,"Coral Gables, FL",,,,,healthcare,dentistry,,,Web,,,,,,,,,N,non-cgcc-run1,,
coralgablesdentistry,Coral Gables Dentistry,,,coralgablesdentistry.com,"Coral Gables, FL",,,,,healthcare,dentistry,,,Web,,,,,,,,,N,non-cgcc-run1,,
miamismileinstitute,Miami Smile Institute,,,miamismileinstitute.com,"Coral Gables, FL",,,,,healthcare,dentistry,,,Web,,,,,,,,,N,non-cgcc-run1,,
southgablesdental,South Gables Dental,,,southgablesdental.com,"Coral Gables, FL",,,,,healthcare,dentistry,,,Web,,,,,,,,,N,non-cgcc-run1,,
mdnowurgentcarecoralway,MD Now Urgent Care - Coral Way,,(305) 569-9942,mymdnow.com,"2750 Coral Way, Coral Gables, FL 33145",,,,,healthcare,urgent care,,,Web,,,,,,,,,N,non-cgcc-run1,,
coralgablesexecutivephysicians,Coral Gables Executive Physicians,,(305) 446-9940,cgepmd.com,"800 Douglas Rd, Suite 125, Coral Gables, FL 33134",,,,,healthcare,concierge medicine,,,Web,,,,,,,,,N,non-cgcc-run1,,
jacksonmedicalgroupcoralgables,Jackson Medical Group - Coral Gables,,(305) 575-1620,jacksonhealth.org,"3737 S.W. 8 St., suite B, Coral Gables, FL 33134",,,,,healthcare,primary care/cardiology,,,Web,,,,,,,,,N,non-cgcc-run1,,
thefamilymedicalgroupcoralgables,The Family Medical Group Coral Gables,,(305) 306-0233,thefamilymedgroup.com,"1330 SW 22nd Street Suite 401, Miami, FL 33145",,,,,healthcare,family medicine,,,Web,,,,,,,,,N,non-cgcc-run1,,
mountsinaiprimaryspecialtycarecoralgables,Mount Sinai Primary & Specialty Care Coral Gables,,(305) 441-0910,msmc.com,"836 Ponce de Leon Boulevard, Suite 200, Coral Gables, FL 33134",,,,,healthcare,multi-specialty,,,Web,,,,,,,,,N,non-cgcc-run1,,
threefoldcafe,Threefold Cafe,,,,"141 Giralda Ave, Coral Gables, FL",,,,,food_beverage,cafe,,4.3,Web,197,,,,,,,,N,non-cgcc-run1,,
siondelcielo,Pasion del Cielo,,,,"Coral Gables, FL",,,,,food_beverage,cafe,,4.5,Web,123,,,,,,,,N,non-cgcc-run1,,
bachour,Bachour,,,,"Coral Gables, FL",,,,,food_beverage,bakery/cafe,,4.4,Web,124,,,,,,,,N,non-cgcc-run1,,
cremagourmetespressobar,Crema Gourmet Espresso Bar,,,cremagourmet.com,"169 Miracle Mile, Coral Gables, FL",,,,,food_beverage,cafe,,4.2,Web,52,,,,,,,,N,non-cgcc-run1,,
chocolatefashion,Chocolate Fashion,,,,"248 Andalusia Ave, Coral Gables, FL",,,,,food_beverage,cafe/dessert,,4.2,Web,179,,,,,,,,N,non-cgcc-run1,,
cafedemetrio,Cafe Demetrio,,(305) 448-6077,cafedemetrio.com,"300 Alhambra Circle, Coral Gables, FL 33134",,,,,food_beverage,cafe,,,Web,,,,,,,,,N,non-cgcc-run1,,
tintaycafe,Tinta y Cafe,,,tintaycafe.co,"1315 Ponce de Leon Blvd, Coral Gables, FL",,,,,food_beverage,cuban cafe,,,Web,,,,,,,,,N,non-cgcc-run1,,
groucoffeecowork,GROU Coffee + Cowork,,,,"4100 Salzedo St STE 5, Coral Gables, FL",,,,,food_beverage,cafe/coworking,,,Web,,,,,,,,,N,non-cgcc-run1,,
cafegrumpycoralgables,Cafe Grumpy - Coral Gables,,,,"2516 Ponce de Leon Blvd, Coral Gables, FL",,,,,food_beverage,cafe,,,Web,,,,,,,,,N,non-cgcc-run1,,
cortaditocoffeehousecoralgables,Cortadito Coffee House Coral Gables,,,,"200 Miracle Mile, Coral Gables, FL",,,,,food_beverage,cafe,,,Web,,,,,,,,,N,non-cgcc-run1,,
glasshousecafe,Glasshouse Cafe,,,,"10901 Old Cutler Rd, Coral Gables, FL",,,,,food_beverage,cafe,,,Web,,,,,,,,,N,non-cgcc-run1,,
faadebakery,Facade Bakery,,,,"271 Giralda Ave, Coral Gables, FL",,,,,food_beverage,bakery,,,Web,,,,,,,,,N,non-cgcc-run1,,
equinoxcoralgables,Equinox Coral Gables,,(786) 497-8200,equinox.com,"370 San Lorenzo Avenue, Coral Gables, FL 33146",,,,,wellness,fitness,,,Web,,,,,,,,,N,non-cgcc-run1,,
