business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date
lifetimecoralgables,Life Time Coral Gables,,(786) 437-4407,lifetime.life,"Coral Gables, FL",,,,,wellness,fitness,,,Web,,,,,,,,,N,non-cgcc-run1,,
youfitgymscoralgables,YouFit Gyms Coral Gables,,(888) 968-3481,youfit.com,"7070 Coral Way, Miami, FL 33155",,,,,wellness,fitness,,,Web,,,,,,,,,N,non-cgcc-run1,,
sweat440coralgables,SWEAT440 Coral Gables,,,sweat440.com,"Coral Gables, FL 33146",,,,,wellness,fitness,,,Web,,,,,,,,,N,non-cgcc-run1,,
vantagecommunications,Vantage Communications,,,,"Coral Gables, FL",,,,,marketing,,,,Web,,,,,,,,,N,non-cgcc-run1,,
mycitysocial,MyCity Social,,,,"Coral Gables, FL",,,,,marketing,,,,Web,,,,,,,,,N,non-cgcc-run1,,
fluidmarketplaces,Fluid Marketplaces,,,,"Coral Gables, FL",,,,,marketing,Amazon agency,,,Web,,,,,,,,,N,non-cgcc-run1,,
mktdirector,MKTDIRECTOR,,,,"Coral Gables, FL",,,,,marketing,,,,Web,,,,,,,,,N,non-cgcc-run1,,
thebrandcollective,The Brand Collective,,,,"Coral Gables, FL",,,,,marketing,,,,Web,,,,,,,,,N,non-cgcc-run1,,
hlagency,H/L Agency,,,,"Coral Gables, FL",,,,,marketing,,,,Web,,,,,,,,,N,non-cgcc-run1,,
icscreativeagency,ICS Creative Agency,,,icscreativeagency.com,"Coral Gables, FL",,,,,marketing,web design/digital,,,Web,,,,,,,,,N,non-cgcc-run1,,
docdigitalsem,Doc Digital SEM,,,docdigitalsem.com,"Coral Gables, FL",,,,,marketing,SEO,,,Web,,,,,,,,,N,non-cgcc-run1,,
blaremedia,Blare Media,,,blaremedia.net,"Coral Gables, FL",,,,,marketing,social media,,,Web,,,,,,,,,N,non-cgcc-run1,,
