business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Modern Psychology,(305) 456-4833,https://www.themodernpsychology.com/,"6601 SW 80th St STE 121, South Miami, FL 33143",25.6968629,-80.3002067,33143,4.8,20,Mental health service,None,apify
South Miami Psychology Group,(305) 662-2686,http://www.southmiamipsychologygroup.com/,"10205 S Dixie Hwy #203, Miami, FL 33156",25.6750869,-80.3187179,33156,4,10,Psychologist,None,apify
Clear Path Individual and Family Therapy Inc,(813) 957-5276,https://www.clearpaththerapyinc.com/,"5901 SW 74th St 211 Unit 2A, Miami, FL 33143",25.7026517,-80.2896645,33143,5,2,Psychotherapist,None,apify
Beyond The Scale Therapy,(786) 638-9074,http://beyondthescaletherapy.com/,"5901 SW 74th St Ste 201, South Miami, FL 33143",25.7026517,-80.2896645,33143,4.8,24,Mental health clinic,None,apify
South Miami Counseling,(305) 710-5288,https://southmiamicounseling.com/,"7520 S Red Rd STE D, South Miami, FL 33143",25.7044433,-80.2854554,33143,,,Psychotherapist,None,apify
"Raymond S. Estefania, MS, LMHC, CAP, CIP, ICADC",(305) 479-8253,https://therapeutic-partners.com/,"5901 SW 74th St Ste 210, South Miami, FL 33143",25.7025168,-80.2896701,33143,4.7,23,Mental health service,None,apify
Buxani Counseling Care | Mental Health Counseling Clinic in Miami,(786) 808-4673,https://buxanicare.com/,"9700 S Dixie Hwy Ste 880, Miami, FL 33156",25.6805585,-80.3168338,33156,5,242,Counselor,None,apify
My Psychiatrist,(305) 735-3572,https://mypsychiatrist.com/?utm_source=gbp&utm_medium=organic&utm_campaign=miami,"5901 SW 74th St #408, Miami, FL 33143",25.7026255,-80.2896986,33143,4.9,472,Psychiatrist,None,apify
The Psychotherapy Center,(305) 667-0047,,"6510 Manor Ln, South Miami, FL 33143",25.697337,-80.2992058,33143,5,2,Psychologist,None,apify
"Pediatric Psychology Associates, South Miami",(305) 662-9162,http://www.southfloridatherapists.com/,"7800 Red Rd Ste 216, South Miami, FL 33143",25.6983943,-80.2855482,33143,3.7,3,Psychologist,None,apify
Pinecrest Counseling,(786) 227-6570,http://www.pinecrestcounseling.com/,"12368 SW 82nd Ave, Miami, FL 33156",25.6561718,-80.3265721,33156,4.8,17,Counselor,None,apify
